id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
69002,Hunter Ligget / Hunter-Liggett,US,CA,69002,KHGT,35.9935,-121.2367,310.0,America/Los_Angeles,1964-07-15,1997-04-01,1964-07-15,1971-07-31,1964-01-01,1971-01-01
69007,Fort Ord / Blanco,US,CA,69007,KOAR,36.6815,-121.7617,42.0,America/Los_Angeles,1973-01-02,2025-02-06,1983-03-31,2022-04-25,2020-01-01,2022-01-01
69014,Irvine,US,CA,69014,KNZJ,33.6667,-117.7167,119.0,America/Los_Angeles,1989-01-01,1999-06-06,1945-03-01,1998-12-10,1945-01-01,1998-01-01
69015,Twentynine Palms / Sunfair Heights,US,CA,69015,KNXP,34.2962,-116.1622,625.0,America/Los_Angeles,1990-01-02,2025-02-05,1945-05-01,2022-04-24,1945-01-01,2021-01-01
69542,Monterey / Del Monte,US,CA,69542,KQNM,36.59,-121.86,152.0,America/Los_Angeles,2001-11-01,2002-08-20,,,,
71D38,Santa Monica Municipal Airport,US,CA,,KSMO,34.0158,-118.4514,53.0,America/Los_Angeles,2022-04-23,2025-02-06,2022-04-24,2022-04-25,,
72004,Stevenson Ranch,US,CA,72004,K3A6,34.37,-118.57,427.0,America/Los_Angeles,2004-02-24,2011-09-04,2004-02-26,2010-08-28,,
72281,"El Centro, Naval Air Facility",US,CA,72281,KNJK,32.8167,-115.65,-13.0,America/Los_Angeles,1984-04-13,2025-02-06,1945-02-01,2025-02-01,1945-01-01,2022-01-01
72286,Riverside / March Air Force Base,US,CA,72286,KRIV,33.9,-117.25,469.0,America/Los_Angeles,1933-01-01,2025-02-06,1936-02-16,2025-02-02,1936-01-01,2022-01-01
72288,Burbank-Glendale-Pasadena,US,CA,72288,KBUR,34.2,-118.3667,236.0,America/Los_Angeles,1943-06-01,2025-02-06,1943-06-02,2025-02-02,1943-01-01,2022-01-01
72289,Mount Wilson,US,CA,72289,KMWS,34.2333,-118.0667,1739.0,America/Los_Angeles,1950-01-01,2025-02-06,2010-03-23,2015-05-12,,
72290,San Diego International Airport,US,CA,72290,KSAN,32.7333,-117.1833,5.0,America/Los_Angeles,1942-01-01,2025-02-06,1939-07-01,2025-02-02,1939-01-01,2022-01-01
72291,San Nicolas Island,US,CA,72291,KNSI,33.2333,-119.4667,154.0,America/Los_Angeles,1943-06-16,2025-02-06,1933-08-22,2022-04-24,1933-01-01,2021-01-01
72292,Avalon Catalina Airport,US,CA,72292,KAVX,33.4,-118.4167,488.0,America/Los_Angeles,1943-06-12,2025-02-06,1943-06-13,2025-02-02,1943-01-01,2022-01-01
72293,MCAS Miramar,US,CA,72293,KNKX,32.8667,-117.15,146.0,America/Los_Angeles,2005-04-01,2025-02-06,1947-07-01,2024-07-21,1947-01-01,2022-01-01
72295,Los Angeles Airport,US,CA,72295,KLAX,33.9333,-118.3833,38.0,America/Los_Angeles,1944-01-01,2025-02-06,1944-01-01,2025-02-03,1944-01-01,2022-01-01
72297,Long Beach Airport,US,CA,72297,KLGB,33.8167,-118.15,17.0,America/Los_Angeles,1943-01-01,2025-02-06,1943-01-01,2025-02-03,1943-01-01,2022-01-01
72380,Needles / Parker Junction,US,CA,72380,KEED,34.7663,-114.6233,300.0,America/Los_Angeles,1977-02-17,2025-02-06,1977-03-09,2022-04-24,2001-01-01,2022-01-01
