,468T8,49HYF,72677,72768,72769,72770,72772,72773,72774,72775,72776,72777,72779,74230,7QWEU,9Y709,FZIS8,GBAB3,H5X3C,J5D8P,J893H,JOVI3,K8S00,KBHK0,KBZN0,KCII0,KEKS0,KGDV0,KGFA0,KJDN0,KLVM0,KLWT0,KM750,KOLF0,KPO10,KPWD0,KS590,KS710,KS850,KSDY0,KWYS0,MDSMM,MRYDA,OBMJ4,U1K6U,V83LW,WLH1H,XEEN8
2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0.3199999928474426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4200000762939453,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.149999976158142,0,0,0,0,0,0,0
2023-01-05,0,0,0,0,0,0,3.430000066757202,0.3700000047683716,0,5.21999979019165,5.21999979019165,0,0.9300000071525574,0,0,0,0,0,0,0,0.6100000143051147,7.139999866485596,0,0,3.2300000190734863,0,1.690000057220459,0,6.21999979019165,0,0,0,0,0,0,0,0,0,0,0,6.139999866485596,0,0,0,1.590000033378601,1.2200000286102295,0,0
2023-01-06,3.9800000190734863,0,0,0,0,0,0,0,0,10.579999923706055,10.579999923706055,0,0,0,0,0.30000001192092896,0,0,4.21999979019165,0,0,9.510000228881836,0,0,4.079999923706055,0,0,0,11.170000076293945,0,0,0.9800000190734863,0,0,0,0,0,0,0,0,0,0,2.319999933242798,0,0,0,0,0
2023-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9900000095367432,0,0,0,5.630000114440918,0,0,0,0,0,0,0
2023-01-09,0,0,0,0,0,0,0.699999988079071,3.5899999141693115,0,0,0,0,4.409999847412109,0,0,1.5399999618530273,0,0,0,0,0.4099999964237213,0,0,0,0,0,0,0,0,0,0,1.4700000286102295,0,0,0,0,2.7300000190734863,0,0,0,5.320000171661377,0,0.800000011920929,0,0,0,0,0
2023-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0
2023-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0
2023-01-12,0,0,0,0,0,0,0,0,0,0,0,0,2.490000009536743,0,0,0,0,0,0,0,0.6899999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.569999933242798,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,0,0,0,0,0,0,2.049999952316284,1.7000000476837158,0,0,0,0,0,0,0,0,0,0,0,0,0.47999998927116394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23999999463558197,0,0,0,2.240000009536743,0,0,0,0,0,0,0
2023-01-14,0,0,0,0.550000011920929,0,0,0,1.25,0,0,0,0,0.8399999737739563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1299999952316284,0,0,0,1.600000023841858,0,0,0,3.1600000858306885,0,0,0,0,0,0,0
2023-01-15,0,0,1.0499999523162842,0,0,0,0,0,0,0,0,0,2.069999933242798,0,0,0,0,0,0,0,0,0,0,0,2.8499999046325684,0,0,0,0,0,0.8899999856948853,0,0,0,0,0,1.7000000476837158,0,0,0,9.140000343322754,0,0,0,0,0,0,0
2023-01-16,3.0199999809265137,0,0,0,0,2.5299999713897705,0.9900000095367432,2.8499999046325684,4.739999771118164,2.819999933242798,2.819999933242798,2.490000009536743,1.340000033378601,0,0,2.240000009536743,0,0,0,0,1.3600000143051147,1.7799999713897705,0,0,2.7899999618530273,0,2.0999999046325684,0,2.25,0,0,0,0,0,0,0,2.5199999809265137,2.059999942779541,0,0,0,0,1.809999942779541,0,0,5.849999904632568,0,0
2023-01-17,0,0,0,0,0,0,0,1.3799999952316284,0,0.5,0.5,1.9299999475479126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41999998688697815,0,0,0,0.9700000286102295,0,0,0,0,1.8799999952316284,0,0,0,0,0,0,0.44999998807907104,0,0,0
2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0.5099999904632568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.840000033378601,0,0,0,0,0,0,0
2023-01-19,0,0,0,0,0,0,0,0,0,0,0,0,1.1399999856948853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-22,0,0,1.2300000190734863,0.4000000059604645,0.5899999737739563,3.2899999618530273,0.6899999976158142,0,0.4399999976158142,0.6399999856948853,0.6399999856948853,0.6499999761581421,0.2199999988079071,0,1.1699999570846558,1.8600000143051147,0,0,3.5,0,0,0,1.5199999809265137,0.7099999785423279,0,0,0,0,0.6899999976158142,0.41999998688697815,0,0.7799999713897705,0,0,0,0,0,0,0,0,0,0,1.7699999809265137,0,0.800000011920929,0.7099999785423279,0,0
2023-01-23,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0.3700000047683716,0,0,0.05999999865889549,0,0,0,0,0,0,0,0,0,0,0,0,0.3199999928474426,0,0,0,0,0,0,0,0,0,0
2023-01-24,2.0199999809265137,0,0,0,0,0,0,0.46000000834465027,1.2000000476837158,0,0,0,0,0,0,0,0,0,3.009999990463257,0,0.029999999329447746,0,0,0.7599999904632568,0,0,2.6500000953674316,0.6399999856948853,0,1.6699999570846558,0,1.5299999713897705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-25,0,0,0,0.8100000023841858,0,0,0,0,0.5099999904632568,1.059999942779541,1.059999942779541,0,0,0.4000000059604645,0,0,0,0,0,0,0,2.380000114440918,0,0.8899999856948853,0,0,1.1799999475479126,0,0.5600000023841858,0.8999999761581421,0,0,0,0.3799999952316284,0.3799999952316284,0,0,0,0.3199999928474426,0,3.119999885559082,0,0,0,0,0.6299999952316284,0,0
2023-01-26,1.850000023841858,0,0,0,0,0,1.0099999904632568,6.150000095367432,0.27000001072883606,0,0,0,2.619999885559082,0,0,0,0,0,6.159999847412109,0,4.789999961853027,0,1.0499999523162842,0.9200000166893005,1.840000033378601,0,0,1.2000000476837158,0,0,4.849999904632568,5.079999923706055,0,0,0.699999988079071,2.9200000762939453,2.640000104904175,0,1.159999966621399,0,7.380000114440918,0,1.6200000047683716,2.549999952316284,0,0,0,0
2023-01-27,8.630000114440918,11.039999961853027,7.929999828338623,0,2.4100000858306885,4.610000133514404,3.0799999237060547,11.59000015258789,2.25,6.519999980926514,6.519999980926514,0,6.760000228881836,1.3200000524520874,8.869999885559082,7.239999771118164,5.159999847412109,6.599999904632568,12.180000305175781,8.399999618530273,9.069999694824219,8.819999694824219,9.430000305175781,0.9300000071525574,13.369999885559082,5.949999809265137,9,0,6.099999904632568,1.3300000429153442,15.789999961853027,12.109999656677246,0,0,0,0,9.270000457763672,0,0,0,8.199999809265137,7.010000228881836,7.329999923706055,8.1899995803833,5.730000019073486,3.309999942779541,4.21999979019165,10.970000267028809
2023-01-28,3.759999990463257,5.320000171661377,1.5099999904632568,0,0,5.460000038146973,0,0,4.420000076293945,1.9900000095367432,1.9900000095367432,0,0,0,1.8799999952316284,0,4.25,0,0,2.380000114440918,1.350000023841858,0,0,0,0,0,4.690000057220459,0,2.4800000190734863,0,2.4200000762939453,4.090000152587891,0,0,0,0,0,0,0,0,0,0,6.980000019073486,0,4.840000152587891,1.8300000429153442,0,0
2023-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-30,0,0,0,0,0,0,0,0.5400000214576721,0,0,0,0,1.0199999809265137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,0,0,0,0,0,0,1.7899999618530273,0,0,0,0,3.3299999237060547,0,0,0,0,0,0,0,1.0199999809265137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.399999976158142,0,0,0,1.649999976158142,0,0,0,0,0,0,0
2023-02-01,0,0,0,0,0,0,0,0,0,0,0,0.5799999833106995,0.47999998927116394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.730000019073486,0,0,0,0,0,0,0,0,0,0,0
2023-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999046325684,0,0,0,0,0,0,0,0,0,0,0
2023-02-05,0,0,0,0,0,0,0,0.7400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.329999923706055,0,0,0,4.420000076293945,0,0,0,0,0,0,0
2023-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-07,0,0,0,0,0,0,0,1.9700000286102295,0,0,0,0,0.8600000143051147,0,0,0,0,0,0,0,1.8700000047683716,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,7.670000076293945,0,0,0,0,0,0,0,0,0,0,0
2023-02-08,1.5,0,0,0,0,0,0,0.5899999737739563,0,0,0,0,0,0,0,3.559999942779541,0,0,3.799999952316284,0,0,0,3.430000066757202,0,0.38999998569488525,0,0,0,0,0.38999998569488525,0,2.319999933242798,0,0,0,0,0,0,0,0,0,0,1.940000057220459,0,0,0,0,0
2023-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5199999809265137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
