,468T8,49HYF,72677,72768,72769,72770,72772,72773,72774,72775,72776,72777,72779,74230,7QWEU,9Y709,FZIS8,GBAB3,H5X3C,J5D8P,J893H,JOVI3,K8S00,KBHK0,KBZN0,KCII0,KEKS0,KGDV0,KGFA0,KJDN0,KLVM0,KLWT0,KM750,KOLF0,KPO10,KPWD0,KS590,KS710,KS850,KSDY0,KWYS0,MDSMM,MRYDA,OBMJ4,U1K6U,V83LW,WLH1H,XEEN8
2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5034999847412109,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5966999530792236,0,0,0,0,0,0,0
2023-01-05,2.100299835205078,0,0,0,0,0.044499997049570084,3.5769999027252197,0,1.6780999898910522,8.829899787902832,8.829899787902832,0,0.44589999318122864,0,0,0,4.064799785614014,1.5972999334335327,0,0,0.8341000080108643,4.286999702453613,0,0,3.8197999000549316,0.0016999999061226845,2.654099941253662,0,9.201600074768066,0,1.0455999374389648,0,0,0,0,0,0.1395999938249588,0,0,0,4.632999897003174,0,0.4908999800682068,0,3.882999897003174,0.871399998664856,2.7588000297546387,0
2023-01-06,1.5132999420166016,0,0,0,0,0,0,0,0,1.4744999408721924,1.4744999408721924,0,0,0,0,0.5227999687194824,0,0,1.1586999893188477,0,0,0.9305999875068665,0,0,0.03309999778866768,0,0,0,1.8389999866485596,0,0,0,0,0,0,0,0.06689999997615814,0,0,0,0,0,0.8454999923706055,0,0.42069998383522034,0,0,0
2023-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4965999126434326,0,0,0,5.280799865722656,0,0,0,0,0,0,0
2023-01-09,0,0,0,0,0,0,0,2.9845998287200928,0,0.002300000051036477,0.002300000051036477,0.6324999928474426,4.426700115203857,0,0,0.4795999825000763,0,0,0.4503999948501587,0,0.6087999939918518,0.45889997482299805,1.1089999675750732,0,0.00039999998989515007,0,0.5712999701499939,0,0.601099967956543,0,0,0,0,0,0,0,2.505699872970581,0,0,0,5.164400100708008,0.0005999999702908099,0,0,0.44099998474121094,0,0.0018999999156221747,0
2023-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008700000122189522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604200005531311,0,0,0,0,0,0,0
2023-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35760000348091125,0,0,0,0,0,0,0,0,0,0.02290000021457672,0,0,0,10.119799613952637,0,0,0,0,0,0,0
2023-01-12,0,0,0,0,0,0,0.015399999916553497,0,0,0,0,0,0.48499998450279236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.450700044631958,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,0,0,0,0,0,0,0.9414999485015869,1.2204999923706055,0.41419997811317444,0,0,0,0,0,0,0,0,0,0,0,1.0273000001907349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2553000450134277,0,0,0,1.8923999071121216,0,0,0,0,0,0,0
2023-01-14,0,0,0,0.5842999815940857,0,0,0,0,0,0,0,0,0.4684000015258789,0,0,0,0,0,0.032999999821186066,0,0,0,0,0,0,0,0,0.5027999877929688,0,0.4843999743461609,0,0,0.7532999515533447,0,0.3264999985694885,0,0.337799996137619,0,0,0,0.7994999885559082,0,0,0.026799999177455902,0,0,0,0
2023-01-15,0.8068000078201294,0.24799999594688416,0.6797999739646912,0,0,0.6676999926567078,0.6685999631881714,0,1.4042999744415283,2.6868999004364014,2.6868999004364014,0,1.3619999885559082,0.3245999813079834,0.02369999885559082,0.4251999855041504,0.491599977016449,0,0.5115999579429626,0,0,0.8754000067710876,0,0,2.3526999950408936,0,2.7380998134613037,0,1.4179999828338623,0,1.727199912071228,0.958899974822998,0,0,0,0,1.86489999294281,0,0,0,9.45319938659668,0,0.608299970626831,0.4405999779701233,0.5489000082015991,2.5800998210906982,0.07919999957084656,0
2023-01-16,1.414199948310852,0,0,0,0,2.991999864578247,1.8668999671936035,3.0188000202178955,3.946199893951416,0.8707000017166138,0.8707000017166138,3.5159997940063477,1.6272000074386597,1.2753000259399414,0.38659998774528503,0.35259997844696045,0,0,0.20229999721050262,0,2.105599880218506,1.232200026512146,0,0.4518999755382538,1.080199956893921,0,1.7493000030517578,0,1.614300012588501,0,0,0,0,0,0,0,0,0.44849997758865356,0,0.3206999897956848,0,0,0.6604999899864197,0.7188000082969666,0.46949997544288635,3.5732998847961426,0,0
2023-01-17,0,0,0,0.015399999916553497,0,0,0,0,0,0,0,0.7324999570846558,0,0,0,0,0,0,0,0,0,0.4461999833583832,0,0,0,0,0,0,0.1973000019788742,0,0,0,0,0,0.10749999433755875,0,0,0.47529998421669006,0,0,0.07279999554157257,0,0,0,0.3247999846935272,0,0,0
2023-01-18,0,0,0,0,0,0.4007999897003174,0,0,0,0,0,0,0.6004999876022339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3205000162124634,0,0,0,1.6957999467849731,0,0,0,0,0,0,0
2023-01-19,0,0,0,0,0,0,0.1647000014781952,0,0,0,0,0,0.5997999906539917,0,0,0,0,0,0,0,0,0.4737999737262726,0,0,0.33480000495910645,0,0,0,0,0,0.05989999696612358,0,0,0,0,0,0.36550000309944153,0,0,0,0,0,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-21,0,0,0,0,0,0,0,0,0.42649999260902405,0.40849998593330383,0.40849998593330383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44829997420310974,0,0
2023-01-22,1.542699933052063,0,1.1079000234603882,0.16769999265670776,0.7646999955177307,1.0892000198364258,0,0,0,0,0,0,0,0.5412999987602234,0.8728999495506287,1.4358999729156494,0.28669998049736023,0,0,0,0,2.2681000232696533,1.2627999782562256,0.026399999856948853,0,0.546999990940094,0.5281999707221985,0,0.5349999666213989,0,0.09640000015497208,1.2210999727249146,0,0,0.4169999957084656,0,0,0,0,0.0050999997183680534,0,0.38850000500679016,1.4153999090194702,0,1.2210999727249146,0.4732999801635742,0.4008999764919281,0.7917999625205994
2023-01-23,0,0,0,0,0,0,1.0289000272750854,0,0,0,0,0,0,0,0,0.43379998207092285,0.00039999998989515007,0,0,0,0,1.3152999877929688,0,0,0.41499999165534973,0,0,0,0,0,0,0,0,0,0,0.8227999806404114,0,0.04439999908208847,0,0,0,0,0,0,0.2289000004529953,0,0.010400000028312206,0
2023-01-24,0,0,0,0.9965999722480774,0,0,0,0.4448999762535095,1.5870000123977661,0,0,0,0,1.5062999725341797,0,0.9096999764442444,0,0,0.3231000006198883,0,0.5601999759674072,4.0920000076293945,0,0.41130000352859497,0.63919997215271,0,1.4723999500274658,0.5292999744415283,0,1.0321999788284302,0,1.2620999813079834,0,0,0,0,0,0,0,0,2.0249998569488525,0,0,0,0,0,0,0.005200000014156103
2023-01-25,0,0,0,0,0,0,0.5746999979019165,0,0,1.022499918937683,1.022499918937683,0,0,0.5123000144958496,0,0.5275999903678894,0.39739999175071716,0.32330000400543213,0,0.01209999993443489,0,2.7969000339508057,0.40369999408721924,0.2969000041484833,0.5145999789237976,0,0.8649999499320984,0,0.6233999729156494,0,0,0,0,0,0,0,0,0,0.28630000352859497,0,0.7423999905586243,0,0,0,0,0,0,0
2023-01-26,2.6610000133514404,0.026599999517202377,0.5091999769210815,0,0,0.313400000333786,2.7323999404907227,5.676599979400635,1.5372999906539917,0,0,1.729099988937378,2.1059999465942383,0,0.625,1.1353999376296997,0.5755999684333801,0.6329999566078186,3.0665998458862305,2.3541998863220215,1.6172999143600464,0.6018999814987183,1.3701000213623047,1.1756999492645264,2.376699924468994,0,4.111799716949463,0.7425000071525574,0,0,1.0555999279022217,1.1756999492645264,0,0.41130000352859497,0.5803999900817871,4.431600093841553,3.751199960708618,0,0.2671000063419342,1.423699975013733,6.727999687194824,0.9526999592781067,0.8652999997138977,1.4010999202728271,0,0.884399950504303,0,2.2570998668670654
2023-01-27,7.394799709320068,15.281999588012695,10.283299446105957,0,2.539099931716919,2.412099838256836,3.3583998680114746,9.877099990844727,4.531499862670898,5.649299621582031,5.649299621582031,0,9.92859935760498,2.3287999629974365,9.916999816894531,6.130099773406982,6.558799743652344,8.038100242614746,6.674200057983398,6.761499881744385,8.112199783325195,7.594399929046631,12.8818998336792,0.5691999793052673,8.85159969329834,6.487400054931641,6.71019983291626,0,7.725899696350098,0.9687999486923218,14.86259937286377,10.808699607849121,0,0,0.49399998784065247,0,8.365499496459961,0,0,0,7.675599575042725,5.6006999015808105,5.5279998779296875,3.16729998588562,3.948499917984009,2.5976998805999756,3.9275999069213867,7.43649959564209
2023-01-28,0.6413999795913696,1.3707000017166138,1.500599980354309,0,0,1.2350000143051147,0.16779999434947968,0,3.594399929046631,0.8797000050544739,0.8797000050544739,0,0.6105999946594238,0.6159999966621399,1.1234999895095825,0,1.5550999641418457,1.482699990272522,0.004399999976158142,2.0623998641967773,0.9763999581336975,0.6895999908447266,0,0,0,0,0.5515999794006348,0,0.6973999738693237,0,1.1409999132156372,0,0,0,0,0,0,0,0,0,0,0,0.35259997844696045,0,1.4874999523162842,0.6632999777793884,6.194999694824219,0
2023-01-29,0,0,0,0,0,0,0,0,0.019899999722838402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-30,0,0,0,0,0,0,1.298699975013733,0.9763999581336975,0.14229999482631683,0,0,0,1.3251999616622925,0,0,0,0,0,0,0,0.019299998879432678,0,0.7114999890327454,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019500000402331352,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,0,0,0,0,0,0.6107999682426453,1.562399983406067,0.6681999564170837,0,0,0,3.0785000324249268,0,0,0,0,0.32179999351501465,0,0,0,0.2953000068664551,0.42499998211860657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9151999950408936,0,0,0,1.9031999111175537,0,0,0,0,0,0,0
2023-02-01,0,0,0,0,0,0,0,0,0,0,0,0.8396999835968018,0,0,0,0.24089999496936798,0,0,0,0,0,1.313599944114685,0,0,0,0,0,0,0,0,0,0.3806999921798706,0,0,0,0,0,0,0,0,0.24059998989105225,0.406499981880188,0.31929999589920044,0,0,0,0,0.24539999663829803
