id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
468T8,Windham,US,MT,,K1CM,47.1,-110.2,1337.0,America/Denver,2022-05-06,2025-03-01,,,,
49HYF,Big Timber Airport,US,MT,,K6S0,45.8065,-109.9783,1369.0,America/Denver,2022-05-06,2025-03-31,,,,
72677,Logan International Airport,US,MT,72677,KBIL,45.8167,-108.55,1112.0,America/Denver,1935-05-01,2025-03-31,1935-05-01,2025-03-24,1935-01-01,2022-01-01
72768,Glasgow International Airport,US,MT,72768,KGGW,48.2167,-106.6167,699.0,America/Denver,1942-12-10,2025-03-31,1942-12-10,2025-03-24,1943-01-01,2022-01-01
72769,Cut Bank / Little Browning,US,MT,72769,KCTB,48.6084,-112.3761,1176.0,America/Denver,2005-01-01,2025-03-31,1903-12-01,2025-03-24,1903-01-01,2022-01-01
72770,Dillon / Bishop Place,US,MT,72770,KDLN,45.2554,-112.5525,1599.0,America/Denver,1973-01-01,2025-03-31,1940-01-01,2025-03-24,1940-01-01,2022-01-01
72772,Helena Regional Airport,US,MT,72772,KHLN,46.6,-111.9667,1180.0,America/Denver,1973-01-01,2025-03-31,1938-04-01,2025-03-24,1938-01-01,2022-01-01
72773,Missoula International Airport,US,MT,72773,KMSO,46.9167,-114.1,976.0,America/Denver,1973-01-01,2025-03-31,1948-01-01,2025-03-24,1948-01-01,2022-01-01
72774,Butte / Valley Vista Mobile Home Community,US,MT,72774,KBTM,45.9548,-112.4975,1692.0,America/Denver,1977-03-01,2025-03-31,1894-04-02,2025-03-24,1894-01-01,2022-01-01
72775,Great Falls International,US,MT,72775,KGTF,47.4667,-111.3833,1120.0,America/Denver,1973-01-01,2025-03-31,1937-04-01,2025-03-24,1937-01-01,2022-01-01
72776,"Great Falls, Mt.",US,MT,72776,KTFX,47.4667,-111.3833,1131.0,America/Denver,1994-09-21,2025-02-11,,,,
72777,Havre City-County Airport,US,MT,72777,KHVR,48.55,-109.7667,789.0,America/Denver,1973-01-01,2025-03-31,1961-02-01,2025-03-24,1961-01-01,2022-01-01
