,468T8,49HYF,72677,72768,72769,72770,72772,72773,72774,72775,72776,72777,72779,74230,7QWEU,9Y709,FZIS8,GBAB3,H5X3C,J5D8P,J893H,JOVI3,K8S00,KBHK0,KBZN0,KCII0,KEKS0,KGDV0,KGFA0,KJDN0,KLVM0,KLWT0,KM750,KOLF0,KPO10,KPWD0,KS590,KS710,KS850,KSDY0,KWYS0,MDSMM,MRYDA,OBMJ4,U1K6U,V83LW,WLH1H,XEEN8
2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9937070608139038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-05,0.7573847770690918,0,0,0,0.38202139735221863,0.3124132752418518,0,0.9552292227745056,0,0,0,0,0,0,0,0,0,0.5149562358856201,0,0,0.9414348602294922,0,1.6850805282592773,0,0.679255485534668,0,0,0,0,0,0,0,0,0,0,0,2.2141990661621094,0,0,0,0,0,0,0,0.6511836051940918,0,0.6389940977096558,0
2023-01-06,0,0,0,0,0.11209920048713684,0,2.7482454776763916,0,0.49155083298683167,2.391364097595215,2.391364097595215,0,0,0,0,0,0,0,0,0,0,4.105675220489502,0.562017560005188,0,1.9045319557189941,0.21945805847644806,0,0,2.767927408218384,0,0.3249194025993347,0,0,0,0,0,0,0,0,0,0,0,0.903601884841919,0,1.290669560432434,0,0,0
2023-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8177705407142639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,0.8480703830718994,0,0,0,0.11209920048713684,0.42608749866485596,0,1.8326292037963867,0.9831016659736633,0,0,0.4033770263195038,2.9602997303009033,0,0.49112385511398315,0.882512092590332,0.456123024225235,0.96844083070755,0,0.37999626994132996,0.8177705407142639,0,0.843026340007782,0,0.9522659778594971,0,0,0,0,0,0.3249194025993347,0,0,0,0,0,1.0578720569610596,0,0,0,0,0,0,0,0.645334780216217,0.9924620389938354,0,2.079496383666992
2023-01-09,1.6961407661437988,0.7697725892066956,1.8470901250839233,1.1101508140563965,0.22419840097427368,0,0,1.2217527627944946,0.9831016659736633,0,0,0,2.9602997303009033,1.08759343624115,1.4733715057373047,0.882512092590332,0.91224604845047,0.484220415353775,1.3215466737747192,0.7599925398826599,0.8177705407142639,0,0.281008780002594,0,0.47613298892974854,0.21945805847644806,1.7953311204910278,1.2215261459350586,0.9226424694061279,0.97829270362854,0.3249194025993347,1.7544623613357544,0,1.2058571577072144,0.7567754983901978,0.45299017429351807,2.115744113922119,0,1.095053791999817,0.9058613777160645,0,0.8477269411087036,0.903601884841919,0.9417945146560669,0,0.9924620389938354,1.0846142768859863,0
2023-01-10,0.8480703830718994,0,0,1.1101508140563965,0.22419840097427368,0.42608749866485596,1.3741227388381958,0.6108763813972473,0.9831016659736633,2.391364097595215,2.391364097595215,0.8067540526390076,0,0.543796718120575,0,0.882512092590332,0.456123024225235,0.484220415353775,0.44051554799079895,0,0.8177705407142639,0,0.562017560005188,1.5532108545303345,0.47613298892974854,0.21945805847644806,1.7953311204910278,0,0,0.6521950960159302,0.3249194025993347,1.7544623613357544,1.3390575647354126,0.6029285788536072,1.5135509967803955,0.9059803485870361,2.115744113922119,0,0.7300359010696411,0.9058613777160645,6.824953079223633,0.8477269411087036,0.903601884841919,0.47089725732803345,0.645334780216217,0.9924620389938354,0.5423071384429932,2.079496383666992
2023-01-11,0.6923500895500183,0.2693255543708801,0,0,0,0.5110130906105042,1.6902796030044556,0,0.9982669353485107,0.4180516302585602,0.4180516302585602,0,0,0,0,0,0.2723311483860016,0,0.40921473503112793,0,0,1.160918951034546,0,0,0.7373431921005249,0,1.406190037727356,0,0.3061790466308594,0,0.1823209971189499,0.6072472333908081,0,0,0,0,0,0,0,0,7.062028408050537,0,0,0.29555657505989075,0,1.2417136430740356,0,1.529334306716919
2023-01-12,0,0,0,0,0.10879109799861908,0,0,0,0,0.4180516302585602,0.4180516302585602,0,0,0,0,0,0,0,0,0.24707968533039093,0,0,0.9197922945022583,0,0,0.0846099853515625,0,0,0.3061790466308594,0,0,0,0,0,0,0,2.270143508911133,0,0,0,0,0,0,0,0.3087790310382843,0,0.28624382615089417,0
2023-01-13,0.4615667164325714,0.5386511087417603,1.301043152809143,1.0873017311096191,0.4351643919944763,0.5110130906105042,1.1268529891967773,0.6552577018737793,0.6655113101005554,0.8361032605171204,0.8361032605171204,0.6490277051925659,0,0.8616442084312439,0.5952883362770081,0.7188973426818848,0.5446622967720032,0.8925345540046692,0.6138220429420471,0.49415937066078186,1.5128275156021118,1.160918951034546,0.9197922945022583,0.4262996017932892,0,0.4230499267578125,0.46873003244400024,0.4159657657146454,0.9185371398925781,0.47280484437942505,0.1823209971189499,0.6072472333908081,0.5107811689376831,0.8070579767227173,0.9368802309036255,0.6015858054161072,0,0.5680532455444336,1.237866997718811,0.6580954790115356,0,1.1322022676467896,0.8224667310714722,0.29555657505989075,0.6175580620765686,0.6208568215370178,1.1449753046035767,1.529334306716919
2023-01-14,0.9231334328651428,0.2693255543708801,1.301043152809143,1.0873017311096191,0.32637327909469604,0.5110130906105042,1.1268529891967773,1.3105154037475586,1.3310226202011108,0.8361032605171204,0.8361032605171204,0.6490277051925659,3.6080591678619385,0.8616442084312439,1.785865068435669,1.4377946853637695,0.2723311483860016,0.2975115180015564,0.6138220429420471,0.9883187413215637,1.5128275156021118,0,0.45989614725112915,1.2788987159729004,1.1060148477554321,0.0846099853515625,1.406190037727356,0.8319315314292908,0.6123580932617188,1.41841459274292,0.3646419942378998,1.8217415809631348,1.5323435068130493,1.6141159534454346,1.873760461807251,1.2031716108322144,1.1350717544555664,1.7041598558425903,1.237866997718811,1.3161909580230713,3.5310142040252686,1.1322022676467896,1.096622347831726,0.8866697549819946,0.3087790310382843,1.2417136430740356,0.28624382615089417,2.294001579284668
2023-01-15,0,0,0,0,0,0,0,0.6552577018737793,0,0,0,0,0,0.43082210421562195,0,0.7188973426818848,0.2723311483860016,0.2975115180015564,0,0,0,0,0,0.4262996017932892,0,0.0846099853515625,0.46873003244400024,0.4159657657146454,0,0,0.1823209971189499,0,0,0,0,0,0,0,0,0,1.7655071020126343,0.37740078568458557,0.2741555869579315,0,0,0,0,0.7646671533584595
2023-01-16,0,0,0,0.6813629865646362,0,0,0,1.0584503412246704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6505348682403564,0,0,0,0,0,0,0,0.9575555920600891,0,0,0,0,1.342284083366394,0,0,0,0,0,0,0,0,0,0
2023-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0.9266417622566223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-19,0,0,0,0,0.4277833104133606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8439371585845947,0,0,1.301069736480713,0,0,0,0,0,1.0282875299453735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6966310739517212,0.7605915069580078,0,0,0,0,0,0,0,0.35420235991477966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9718940854072571,0
2023-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-23,2.5286478996276855,0,0,0,0.4387248158454895,0.4211355447769165,1.0080989599227905,0.7052556276321411,1.1043504476547241,1.5407238006591797,1.5407238006591797,0.7133046984672546,0,0,0,1.7808595895767212,0.6096511483192444,0.6660905480384827,0.9140414595603943,0,1.4074549674987793,1.3542100191116333,0,0,0.7427586913108826,0.32605835795402527,0,0,1.262904167175293,1.0486598014831543,0.34510403871536255,1.2437493801116943,0,0,0,0,0.5251728892326355,1.1090821027755737,0,0,0,1.4674880504608154,1.5023837089538574,0.43738827109336853,0.8986432552337646,1.1337021589279175,0.8439682126045227,1.9133131504058838
2023-01-24,0,0.8788728713989258,1.3784916400909424,0,0,0.4211355447769165,0,0,1.1043504476547241,0,0,0,0,1.205445408821106,1.1694495677947998,0,0,0,0.9140414595603943,1.7369580268859863,0,0,0,1.5525224208831787,0.7427586913108826,0,0,0,0,0,0.34510403871536255,1.2437493801116943,0.7869469523429871,0.8815517425537109,0,0.7308303117752075,0.5251728892326355,0,0.9892736673355103,0,1.9648568630218506,0,0,0.43738827109336853,0,1.1337021589279175,0,3.8266263008117676
2023-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-26,0,0,1.377212405204773,0,0,0.38964414596557617,1.4108079671859741,4.588416576385498,1.897957682609558,0,0,0,2.919052839279175,0,0,0,0.7201785445213318,0.4940092861652374,0,3.1539785861968994,0,0,0,0,1.649352788925171,0.25782787799835205,0,0.8076697587966919,0,0,0,0,0,0,0,0,4.725292205810547,0,0,1.8841623067855835,4.486778259277344,0,0,4.073012351989746,0,1.4456524848937988,0.700564444065094,0
2023-01-27,1.5825544595718384,1.2738516330718994,1.377212405204773,0,0.7801941633224487,1.1689324378967285,1.4108079671859741,6.882624626159668,2.8469362258911133,0,0,0.617725670337677,5.83810567855835,0,0,2.7848544120788574,0.7201785445213318,0,1.714004635810852,0,6.564929008483887,0,1.401145339012146,0,6.597411155700684,0,10.041404724121094,0,1.4015092849731445,0,3.7554681301116943,0,0,0,0,0,4.725292205810547,1.2011890411376953,0,0,8.973556518554688,2.3608405590057373,1.401193618774414,0,0,5.782609939575195,0,0
2023-01-28,3.1651089191436768,5.095406532287598,4.131637096405029,0,0.7801941633224487,0,4.232423782348633,0,0,3.54947829246521,3.54947829246521,0.617725670337677,0,1.4095531702041626,6.825034141540527,2.7848544120788574,0.7201785445213318,1.4820277690887451,3.428009271621704,1.5769892930984497,3.2824645042419434,3.9423515796661377,2.802290678024292,1.7161492109298706,0,0.7734836935997009,0,0.8076697587966919,1.4015092849731445,1.1664270162582397,2.816601276397705,9.07583999633789,0,0,0,0,2.3626461029052734,0,0,0,13.460336685180664,2.3608405590057373,2.802387237548828,0,2.1368348598480225,0,1.401128888130188,0
2023-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
