,468T8,49HYF,72677,72768,72769,72770,72772,72773,72774,72775,72776,72777,72779,74230,7QWEU,9Y709,FZIS8,GBAB3,H5X3C,J5D8P,J893H,JOVI3,K8S00,KBHK0,KBZN0,KCII0,KEKS0,KGDV0,KGFA0,KJDN0,KLVM0,KLWT0,KM750,KOLF0,KPO10,KPWD0,KS590,KS710,KS850,KSDY0,KWYS0,MDSMM,MRYDA,OBMJ4,U1K6U,V83LW,WLH1H,XEEN8
2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69875068962574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0542671978473663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6526656597852707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-05,0,0,0,0,0,0,0.29063236713409424,0,0,1.9619548171758652,1.9619548171758652,0,0,0,0,0,0.832188181579113,0,0,0,0,1.1383390948176384,0,0,0.5305594652891159,0,0,0,1.8716443181037903,0,0,0,0,0,0,0,0,0,0,0,1.0221563056111336,0,0,0,0,0,0,0
2023-01-06,1.3735245615243912,0,0,0,0,0,3.521779328584671,0,0,5.317943923175335,5.317943923175335,0,0,0,0,0,2.669554963707924,0.26417338103055954,0,0,0,4.6668801829218864,0,0,2.495909959077835,0.5653764754533768,0.21448037028312683,0,4.998797491192818,0,0,0,0,0,0,0,0,0,0,0,1.7911497354507446,0,0.23686008900403976,0,3.4592176973819733,0,2.4831284433603287,0
2023-01-07,1.9129215627908707,0,0,0,0,0,0,0,0,0.11149054020643234,0.11149054020643234,0,0,0,0,0,0,0,0,0,0,0.2345167174935341,0,0,0,0,0,0,0.3306482434272766,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3949036672711372,0,0,0,0,0
2023-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5148867219686508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-09,0,0,0,0,0,0,0.10474003851413727,2.509594976902008,0,0.9861974865198135,0.9861974865198135,0,1.77341890335083,0,0,0,0.2364976853132248,0,0,0,0.894966259598732,3.735824003815651,0.5983103811740875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4451133757829666,0,0,0,2.671557679772377,0,0,0,0,0,0,0
2023-01-10,0,0,0,0,0,0,0.9068398177623749,3.5879084765911102,0,1.2758782804012299,1.2758782804012299,0,4.379014238715172,0,0,0,0,0,0,0,1.9714236557483673,2.596229001879692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8921432569622993,0,0,0,3.4451707303524017,0,0,0,0,0,0,0
2023-01-11,0,0,0,0,0,0.6155957132577896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3041642010211945,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1965454071760178,0,0,0,0,0,0,0
2023-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6668641343712807,0,0,0,0,0,0,0,0,0,0,0
2023-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.848182588815689,0,0,0,1.0190570577979088,0,0,0,0,0,0,0
2023-01-14,0,0,0,0,0,0,2.349036678671837,0.9483425915241241,0.344228558242321,0.6597218960523605,0.6597218960523605,0.19760730862617493,0,0,0,0.19459006190299988,0,0.1395377516746521,0,0,1.312105841934681,0.8953904286026955,0,0,0,0,0.2612888589501381,0,0.3668385148048401,0.1012125238776207,0,0,0,0,0,0,0.44752389192581177,0.5882822796702385,0.4363645166158676,0,2.6381834596395493,0,0,0,0,0,0,0
2023-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5170318707823753,0,0,0,0,0,0,0,0,0,1.4823860749602318,0,0,0,3.01312318444252,0,0,0,0,0,0,0
2023-01-16,0,0,0,0,0,0.10246419906616211,0.5402899235486984,1.327487751841545,1.353649154305458,0,0,1.3403458446264267,0.4036991596221924,0,0,0,0,0,0,0,1.1769271865487099,0.6794831901788712,0,0,0,0,1.1964112520217896,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8503461480140686,0,0,0,0,1.543290302157402,0,0
2023-01-17,0,0,0,0,0,0,0,2.131591111421585,0,0,0,2.7653577774763107,0,0,0,0,0,0,0,0,1.9551139175891876,1.4846351370215416,0,0,0,0,1.6058629751205444,0,0,0,0,0,0,0,0,0,0,0.8597565963864326,0,0,0,0,0,0,0,1.749289721250534,0,0
2023-01-18,0,0,0,0,0,0,0,0,0,0,0,0.6170244067907333,0,0,0,0,0,0,0,0,0,1.4437129870057106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5873390585184097,0,0,0,0,0,0,0,0,0,0
2023-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10002586990594864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7014709785580635,0,0,0,0,0,0,0,0,0,0.11791182309389114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18901219964027405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-24,0,0,0,0,0,0,0,0,0,0,0,0.5693327635526657,0,0,0,0.201329305768013,0,0,0,0,0,0.2794467732310295,0,0,0,0,1.0787196680903435,0.10516006499528885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1129165068268776,0,0,0,0,0
2023-01-25,0,0,0,0,0,0,0,0,0,0,0,0.2774522006511688,0,0,0,0,0,0,0,0,0,1.4790316373109818,0,0,0,0,2.094613529741764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-26,0,0,0,0,0,0,0.9470552504062653,0.5250520408153534,0,0,0,0.999067634344101,0,0,0,0.32941946387290955,0,0,3.189768075942993,0,1.0638582557439804,2.4094811230897903,0,0,1.8709676638245583,0,0.5398030579090118,0,0,0,1.8041350990533829,2.034522145986557,0,0,0,0.9353648647665977,0.10012903809547424,0.11908801645040512,0,0,5.056227803230286,0,0.7109003886580467,2.744478590786457,0,0,0,0.4387950152158737
2023-01-27,5.8197958171367645,5.223126716911793,5.341078162193298,0,2.630520984530449,1.4977743029594421,5.681685745716095,17.62377966940403,4.342575579881668,5.810263954102993,5.810263954102993,2.5051211789250374,13.047297090291977,1.0771368145942688,5.42332036793232,6.580429241061211,6.804883927106857,6.307338893413544,10.30530160665512,5.284861341118813,13.45015600323677,5.552409864962101,6.756837338209152,0,8.776922382414341,5.241833657026291,12.15229319781065,0,5.249813333153725,1.1704361885786057,10.390518069267273,7.093078300356865,0,0,0,1.7816062569618225,7.506835542619228,0.25078950822353363,0,0,9.588806375861168,3.861739620566368,7.333438396453857,10.4540496468544,3.9886660873889923,2.934178851544857,4.670911505818367,4.832497477531433
2023-01-28,1.5322324857115746,3.5689207315444946,0.3775937259197235,0,0,2.544504478573799,0.7441542372107506,8.723395586013794,4.890633672475815,0.21139869093894958,0.21139869093894958,0,4.044619619846344,0,0.5044833272695541,0.6479478925466537,0.9913188368082047,0.47082890570163727,4.381554335355759,2.7633273154497147,6.128191560506821,0.6204481571912766,0.3325549066066742,0,4.656833738088608,0,4.805596083402634,0,0.11733704060316086,0,7.27542906999588,2.9266985952854156,0,0,0,0,6.040730237960815,0,0,0,3.7734885215759277,0.41191382706165314,0.748702198266983,3.0575774759054184,0,4.000593721866608,0,1.0687120780348778
2023-01-29,1.9419507682323456,2.3148526549339294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4099535346031189,0,0,0,0,0,0,0,0,0,0.8420325517654419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3843465968966484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-31,0,0,0,0,0,0,0,0,0,0,0,0,1.569157913327217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
