,72703,72711,72712,72713,KFVE0
1980-01-01,0,0,0,0,0
1980-01-02,0,0,0,0,0
1980-01-03,0,0,0,0,0
1980-01-04,0,0,0,0,0
1980-01-05,0,0,0,0,0
1980-01-06,0,0,0,0,0
1980-01-07,3.8399999141693115,5.440000057220459,5.710000038146973,4.699999809265137,8.779999732971191
1980-01-08,0,0,0,0,2.4100000858306885
1980-01-09,0,0,0,0,0
1980-01-10,0,0,0,0,0
1980-01-11,9.510000228881836,8.100000381469727,10.4399995803833,9.449999809265137,12.25
1980-01-12,23.829999923706055,3.4200000762939453,8.34000015258789,10.619999885559082,0
1980-01-13,0,0,0,0,0
1980-01-14,4.760000228881836,3.6700000762939453,5.840000152587891,6.480000019073486,3.25
1980-01-15,2.4100000858306885,0,0,0,0
1980-01-16,0,0,0,0,0
1980-01-17,0,0,4.409999847412109,0,2.9200000762939453
1980-01-18,4.28000020980835,0,3.009999990463257,3.6500000953674316,0
1980-01-19,0,0.8299999833106995,0.6200000047683716,1.090000033378601,2.180000066757202
1980-01-20,0,0,0,0,0
1980-01-21,0,0,0,0,0
1980-01-22,0,3.4600000381469727,1.75,1.690000057220459,2.859999895095825
1980-01-23,2.640000104904175,6.309999942779541,3.990000009536743,3.390000104904175,7.460000038146973
1980-01-24,0,0,0,0,0
1980-01-25,0,0,0,0,0
1980-01-26,0,0,0,0,0
1980-01-27,0,0,0,0,0
1980-01-28,0,0,0,0,0
1980-01-29,0,0,0,0,0
1980-01-30,0,0,0,0,0
1980-01-31,0,0,0,0,0
1980-02-01,0,0,0,0,0
1980-02-02,0,0,1.5099999904632568,1.4500000476837158,2
1980-02-03,0,0,0,0,1.3899999856948853
1980-02-04,0,0,0,0,1.5700000524520874
1980-02-05,0,0.3499999940395355,0,0,0
1980-02-06,0,0,0,0,0
1980-02-07,0,0,0,0,0
1980-02-08,0,0,0,0,0
1980-02-09,0,0,0,0,0
1980-02-10,0,0,0,0,0
1980-02-11,0,0,0,0,0
1980-02-12,0,0,0,0,0
1980-02-13,0,0,0,0,0
1980-02-14,0,0,0,0,0
1980-02-15,0,0,0,0,0
1980-02-16,7.71999979019165,6.289999961853027,13.050000190734863,12.510000228881836,9.399999618530273
1980-02-17,7.519999980926514,0,6.820000171661377,9.010000228881836,0
1980-02-18,0,0,0,0,0
1980-02-19,0,0,0,0,0
1980-02-20,0,0,0,0,0
1980-02-21,0,0,0,0,0
1980-02-22,3.9000000953674316,3.9200000762939453,4.71999979019165,4.96999979019165,5.829999923706055
1980-02-23,4.210000038146973,0,0,3.380000114440918,0
1980-02-24,0.5699999928474426,3.5,2.200000047683716,1.350000023841858,3.700000047683716
1980-02-25,0,0,0,0,0
1980-02-26,0,0,0,0,0
1980-02-27,0,0,0,0,0
1980-02-28,1.2599999904632568,0,0,0,0
1980-02-29,0,0,0,0,0
1980-03-01,0,0,0,0,0
1980-03-02,0,0,0,0,0
1980-03-03,0,0,0,0,0
1980-03-04,0,0,0,0,0
1980-03-05,4.429999828338623,2.7200000286102295,2.7100000381469727,2.2799999713897705,3.680000066757202
1980-03-06,0,0.5199999809265137,0,0,1.0499999523162842
1980-03-07,0,0.05000000074505806,0,0,0
1980-03-08,4.489999771118164,5.690000057220459,4.670000076293945,3.930000066757202,7.78000020980835
1980-03-09,3.4800000190734863,5.420000076293945,3.049999952316284,2.9600000381469727,2.140000104904175
1980-03-10,0,3.7699999809265137,0,0,0
1980-03-11,13.770000457763672,9.899999618530273,18.34000015258789,18.110000610351562,20.979999542236328
1980-03-12,0,0,0,0,0
1980-03-13,0,3.690000057220459,0,0,0
1980-03-14,8.039999961853027,14.5600004196167,14.760000228881836,13.75,14.300000190734863
1980-03-15,2.2100000381469727,3.630000114440918,0,0,0
1980-03-16,0,0,0,0,0
1980-03-17,10.949999809265137,14.479999542236328,12.220000267028809,13.430000305175781,13.720000267028809
1980-03-18,25.280000686645508,15.970000267028809,18.040000915527344,18.979999542236328,15.640000343322754
1980-03-19,0,0,0,0,0
1980-03-20,0,0,0,0,0
1980-03-21,0,0,0,0,0
1980-03-22,0,0,0,0,0
1980-03-23,0,0,0,0,0
1980-03-24,0,0,0,0,0
1980-03-25,0,0,0,0,3.799999952316284
1980-03-26,6.119999885559082,2.740000009536743,3.319999933242798,3.140000104904175,3.549999952316284
1980-03-27,0,0,0,0,0
1980-03-28,0,0,0,0,0
1980-03-29,0,0,0,0,0
1980-03-30,0,0,0,0,0
1980-03-31,0,0,0,0,0
1980-04-01,0,0,0,0,0
1980-04-02,0,0,0,0,0
1980-04-03,0,0,0,0,0
1980-04-04,9.149999618530273,3.799999952316284,5.210000038146973,6.170000076293945,4.400000095367432
1980-04-05,3.2699999809265137,0,0,0,0
1980-04-06,0,0,0,0,0
1980-04-07,0,0,0,0,0
1980-04-08,0,0,0,0,0
1980-04-09,0,6.019999980926514,0,0,0
1980-04-10,14.220000267028809,9,15.699999809265137,13.680000305175781,16.010000228881836
1980-04-11,15.6899995803833,1.409999966621399,5.909999847412109,8.100000381469727,1.8600000143051147
