station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias
KAAT0,19,147.1789473684211,511.771024551934,364.59207718351286,364.59207718351286,396.7900120967905,-6.693434621639767,2.4772026414271,2.6959699005289006,-6.693434621639767,0.15814712444410747,247.72026414271002
KTRM0,22,35.95909090909091,147.50390327093658,111.54481236184566,111.54481236184566,130.21316010448197,-15.947999789694723,3.1019920009614514,3.621147165084823,-15.947999789694723,0.4121170450449595,310.1992000961452
72293,39,277.65128205128195,356.6102843936434,78.9590023423613,81.89131859332923,111.4691534914544,0.34212778355366513,0.284381911579928,0.4014717766398289,0.34212778355366513,0.8548059473087445,28.438191157992794
72382,27,131.85925925925923,267.33856446313115,135.47930520387186,135.47930520387186,155.58386548515358,-3.332102508848922,1.0274538622842933,1.1799237031905925,-3.332102508848922,0.7355720824498866,102.74538622842933
KCEC0,20,824.25,1846.0762741265821,1021.8262741265823,1021.8262741265823,1159.554601391221,-3.7709205575817535,1.2397043058860568,1.40679963772062,-3.7709205575817535,0.3885702783799153,123.9704305886057
72384,45,157.37777777777777,278.9664695131356,121.58869173535786,121.58869173535786,130.5763721716439,-3.572723790936691,0.7725912352571455,0.8297001903027359,-3.572723790936691,0.9163060971857265,77.25912352571456
KIPL0,19,21.489473684210527,73.148599682773,51.659125998562466,51.659125998562466,60.093968415574565,-12.502846451379234,2.403926999688187,2.7964374232082214,-12.502846451379234,0.43959893424495555,240.39269996881873
KWVI0,19,271.11052631578946,508.2289334426833,237.11840712689377,305.6488227552633,352.8904140531236,-1.1342124867178418,0.8746189620490734,1.301647777563889,-1.1342124867178418,0.2998559699946206,87.46189620490735
72380,22,53.75000000000001,142.7609523925765,89.01095239257653,92.83252283226028,112.09865940210162,-7.383255519175558,1.656017718931656,2.085556453992588,-7.383255519175558,0.054747571332111354,165.6017718931656
KMYV0,17,255.55294117647057,667.8322742719431,412.2793330954724,412.2793330954724,461.16333062522375,-5.330434258321794,1.6132834597695955,1.8045706243966495,-5.330434258321794,0.5532954094392152,161.32834597695955
KRNM0,19,141.29999999999998,415.84066037295014,274.54066037295013,274.54066037295013,315.69020148365354,-4.301722938355809,1.942962918421445,2.234184016161738,-4.301722938355809,0.38813511931957095,194.29629184214448
72281,23,55.10000000000001,75.54762202802887,20.447622028028864,33.78996993584366,39.77620101143902,-0.34897321426604977,0.37110021829453466,0.7218911254344649,-0.34897321426604977,0.5099416050728258,37.110021829453466
KSIY0,25,183.632,737.5409758366442,553.9089758366441,553.9089758366441,583.6492962903741,-11.321993701476762,3.0164076840455047,3.178363772601584,-11.321993701476762,0.465896367512897,301.64076840455044
KMAE0,19,126.74736842105263,423.5336444331874,296.78627601213475,296.78627601213475,331.03671136757,-7.600845501722878,2.3415576963003737,2.61178370400458,-7.600845501722878,0.4663425310440179,234.1557696300374
KBLH0,27,47.6,86.99476217686689,39.394762176866884,51.32753127704353,56.848775660601554,-2.820031334069129,0.8276210541358588,1.1943020096765031,-2.820031334069129,0.2264094974837372,82.76210541358589
72591,43,568.8558139534885,836.6129865420058,267.75717258851745,267.75717258851745,289.4147932254818,-0.6195583098830593,0.47069427088673504,0.5087665206655431,-0.6195583098830593,0.9533415807220075,47.0694270886735
72751,15,516.6733333333333,922.8202289877166,406.14689565438323,448.98994827209816,519.2531836230039,-13.989796019807512,0.7860806228068992,1.0049931941968566,-13.989796019807512,0.3527993984434999,78.60806228068994
72593,45,304.1688888888889,471.27154745667264,167.1026585677837,167.1026585677837,188.4342284533164,-1.5820966401990746,0.5493745898148884,0.6195052661094157,-1.5820966401990746,0.8607960345455078,54.93745898148883
KNFG0,16,153.98749999999998,300.1158812419418,146.12838124194175,203.73283712191215,222.59305849256154,-0.17407686673132705,0.9489626186667215,1.4455268024518975,-0.17407686673132705,0.5784564967837467,94.89626186667215
KDAG0,24,39.770833333333336,111.16584418342036,71.39501085008705,72.01847193853179,85.22685162728824,-5.396329972908122,1.7951600423280136,2.1429486003718363,-5.396329972908122,0.46076068035943096,179.5160042328014
KOXR0,20,150.84,384.1072296945383,233.26722969453826,233.26722969453826,276.1402781577665,-2.2235348537597996,1.5464547182082886,1.8306833608974176,-2.2235348537597996,0.6145551846996377,154.64547182082885
72297,45,303.3155555555556,317.89007148486786,14.574515929312312,47.10454604167107,60.978972725452756,0.8572645146169301,0.048050670868553025,0.2010413630575692,0.8572645146169301,0.9302824025836045,4.805067086855303
KSTS0,20,381.73999999999995,723.9719739405443,342.2319739405442,407.5523253724259,469.11973166065934,-1.1620049208576582,0.8965054066656475,1.2288985478615273,-1.1620049208576582,0.4578559290853342,89.65054066656475
